# gyro bias (body, rad/s): -0.001636	0.000448	0.001663
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6135 runner_up=[-1,-1,+1] dot=0.6033)
# WARNING: best and runner-up corners are close -- cube may not
#   be resting stably on a single corner yet. Recheck before Stage 2.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
# send c to re-resolve the corner candidate, w<0/1/2> to pick
# a wheel (0=X 1=Y 2=Z), p to fire a pulse, t<Nm> to change its
# size (try t0.08 if 0.05 doesn't move it)
# HOLD/BRACE THE CUBE FIRMLY BEFORE SENDING p
# WiFi build: d<N> sets telht pulse is CANCELLED
#   if no line arrives on Serial1 for 300 ms.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
15255	0	0.0000	0	1.984	-37.464	38.232	-2.05	-10.95	-11.67	0.012	-0.022	-0.016
15262	0	0.0000	0	2.039	-37.431	38.248	-1.72	-11.04	-12.55	0.026	-0.032	-0.010
15269	0	0.0000	0	2.093	-37.399	38.264	-1.67	-10.83	-13.12	0.032	-0.042	-0.001
15276	0	0.0000	0	2.148	-37.368	38.282	-1.37	-11.07	-13.18	0.055	-0.029	0.014
15283	0	0.0000	0	2.200	-37.340	38.301	-1.55	-11.63	-12.97	0.050	-0.009	0.009
15290	0	0.0000	0	2.252	-37.316	38.323	-1.66	-11.76	-12.32	0.036	-0.004	-0.008
15297	0	0.0000	0	2.307	-37.290	38.347	-1.51	-12.56	-11.66	0.029	-0.001	-0.022
15304	0	0.0000	0	2.360	-37.266	38.370	-1.41	-13.17	-11.15	0.000	0.012	-0.000
15311	0	0.0000	0	2.422	-37.236	38.395	-1.10	-12.82	-11.49	-0.022	0.002	0.016
15318	0	0.0000	0	2.479	-37.206	38.417	-1.34	-12.02	-12.16	-0.041	-0.004	0.032
15325	0	0.0000	0	2.537	-37.174	38.436	-1.12	-11.67	-12.83	-0.055	-0.004	0.058
15333	0	0.0000	0	2.600	-37.139	38.458	-0.98	-10.79	-13.43	-0.044	-0.034	0.052
15340	0	0.0000	0	2.659	-37.108	38.480	-1.06	-10.30	-13.63	-0.036	-0.024	0.028
15347	0	0.0000	0	2.720	-37.079	38.505	-1.05	-10.54	-13.08	-0.008	-0.016	0.015
15354	0	0.0000	0	2.784	-37.050	38.533	-0.75	-10.95	-12.97	-0.009	0.000	-0.025
15361	0	0.0000	0	2.848	-37.023	38.563	-0.61	-11.41	-12.22	0.003	0.009	-0.054
15368	0	0.0000	0	2.911	-36.994	38.590	-0.55	-11.63	-11.75	0.013	0.037	-0.064
15375	0	0.0000	0	2.971	-36.965	38.615	-0.41	-11.66	-11.43	0.012	0.022	-0.059
15382	0	0.0000	0	3.031	-36.934	38.637	-0.69	-10.87	-11.42	0.020	0.004	-0.049
15389	0	0.0000	0	3.095	-36.898	38.658	-0.84	-10.19	-11.52	0.025	-0.011	-0.024
15396	0	0.0000	0	3.156	-36.860	38.675	-0.83	-9.56	-11.84	0.022	-0.026	-0.003
15403	0	0.0000	0	3.217	-36.821	38.690	-1.06	-8.58	-12.07	0.014	-0.038	0.003
15410	0	0.0000	0	3.277	-36.783	38.707	-0.98	-8.10	-12.11	0.012	-0.038	0.022
15418	0	0.0000	0	3.335	-36.748	38.724	-1.29	-6.97	-11.76	0.006	-0.033	0.023
15425	0	0.0000	0	3.391	-36.715	38.740	-1.39	-6.93	-11.28	-0.013	0.004	0.027
15432	0	0.0000	0	3.444	-36.684	38.757	-1.26	-6.83	-10.66	-0.013	0.021	0.012
15439	0	0.0000	0	3.498	-36.655	38.776	-1.43	-6.41	-9.64	-0.033	0.046	-0.004
15446	0	0.0000	0	3.544	-36.629	38.792	-1.75	-6.09	-8.80	-0.015	0.023	-0.008
15453	0	0.0000	0	3.591	-36.602	38.807	-2.08	-5.91	-8.01	-0.017	0.032	-0.011
15460	0	0.0000	0	3.634	-36.577	38.820	-2.44	-5.11	-7.30	-0.005	0.020	-0.010
15467	0	0.0000	0	3.670	-36.553	38.829	-2.38	-4.39	-7.01	-0.004	0.003	-0.012
15474	0	0.0000	0	3.706	-36.529	38.837	-2.36	-3.88	-6.59	-0.018	-0.011	-0.004
15481	0	0.0000	0	3.735	-36.508	38.842	-2.84	-3.23	-6.55	-0.006	-0.019	0.001
15488	0	0.0000	0	3.756	-36.490	38.843	-3.17	-2.83	-5.98	0.001	-0.028	-0.007
15495	0	0.0000	0	3.770	-36.477	38.843	-3.74	-2.41	-5.30	0.001	-0.022	0.007
15502	0	0.0000	0	3.779	-36.467	38.841	-4.06	-2.38	-4.49	0.014	-0.019	0.011
15509	0	0.0000	0	3.784	-36.459	38.838	-4.39	-2.06	-4.26	0.010	-0.018	0.018
15517	0	0.0000	0	3.789	-36.452	38.835	-4.86	-1.61	-3.72	0.017	-0.006	0.018
15524	0	0.0000	0	3.789	-36.448	38.831	-5.39	-1.37	-3.22	0.021	0.014	0.015
15531	0	0.0000	0	3.784	-36.447	38.826	-5.94	-1.01	-2.61	0.017	0.014	-0.006
15538	0	0.0000	0	3.777	-36.448	38.820	-6.42	-0.75	-2.18	0.017	0.017	-0.008
15545	0	0.0000	0	3.766	-36.451	38.814	-6.45	-0.68	-1.58	0.015	0.027	-0.008
15552	0	0.0000	0	3.750	-36.458	38.806	-6.98	-0.76	-1.07	-0.001	0.033	-0.002
15559	0	0.0000	0	3.725	-36.468	38.794	-7.45	-0.26	-1.00	-0.004	0.029	-0.004
15566	0	0.0000	0	3.695	-36.482	38.781	-7.69	0.14	-0.85	-0.010	0.008	0.001
15573	0	0.0000	0	3.661	-36.497	38.765	-8.15	0.52	-0.65	-0.011	0.001	0.003
15580	0	0.0000	0	3.619	-36.516	38.748	-8.53	0.68	-0.23	0.002	-0.015	0.005
15587	0	0.0000	0	3.573	-36.538	38.729	-9.37	1.02	-0.15	0.004	-0.015	-0.007
15594	0	0.0000	0	3.529	-36.559	38.710	-9.60	1.19	0.12	0.017	-0.006	0.002
15601	0	0.0000	0	3.482	-36.581	38.691	-10.10	1.37	0.12	0.008	-0.011	0.008
15608	0	0.0000	0	3.439	-36.601	38.672	-10.11	1.65	-0.03	-0.007	-0.003	0.022
15615	0	0.0000	0	3.390	-36.624	38.651	-10.47	1.62	0.03	-0.021	-0.004	0.031
15622	0	0.0000	0	3.337	-36.649	38.629	-10.60	1.51	0.17	-0.024	0.002	0.009
15629	0	0.0000	0	3.284	-36.675	38.607	-10.96	1.44	0.28	-0.019	0.016	-0.005
15636	0	0.0000	0	3.224	-36.704	38.583	-10.89	1.21	0.65	-0.029	0.010	-0.015
15643	0	0.0000	0	3.161	-36.735	38.557	-11.43	1.40	0.58	-0.023	-0.001	-0.028
15650	0	0.0000	0	3.091	-36.767	38.527	-11.78	1.37	0.65	-0.016	0.009	-0.040
15657	0	0.0000	0	3.020	-36.800	38.498	-12.46	1.57	0.59	0.009	0.004	-0.046
15664	0	0.0000	0	2.949	-36.833	38.467	-13.20	1.86	0.62	0.026	-0.000	-0.032
15671	0	0.0000	0	2.875	-36.866	38.434	-13.56	1.60	0.61	0.023	-0.011	-0.018
15678	0	0.0000	0	2.803	-36.900	38.403	-13.85	1.75	0.33	0.028	0.010	-0.003
15685	0	0.0000	0	2.730	-36.933	38.371	-13.96	1.55	0.31	0.005	0.002	0.016
15692	0	0.0000	0	2.658	-36.966	38.340	-14.08	1.44	0.02	-0.003	0.003	0.036
15699	0	0.0000	0	2.587	-36.997	38.308	-14.24	1.46	-0.47	0.000	-0.002	0.056
15706	0	0.0000	0	2.510	-37.033	38.275	-14.59	1.33	-0.43	-0.007	-0.003	0.052
15713	0	0.0000	0	2.431	-37.069	38.241	-15.08	1.38	-0.72	-0.006	-0.006	0.042
15720	0	0.0000	0	2.350	-37.106	38.205	-15.65	1.43	-0.41	-0.005	-0.003	0.025
15727	0	0.0000	0	2.267	-37.144	38.169	-16.13	0.82	-0.16	0.004	0.005	-0.003
15734	0	0.0000	0	2.190	-37.178	38.135	-16.30	0.32	0.29	-0.001	0.018	-0.022
15741	0	0.0000	0	2.112	-37.213	38.100	-16.19	0.34	0.05	0.003	0.010	-0.025
15748	0	0.0000	0	2.035	-37.246	38.064	-16.17	0.28	-0.44	-0.010	0.020	-0.026
15755	0	0.0000	0	1.957	-37.278	38.027	-16.14	-0.28	-1.17	-0.022	0.019	-0.025
15762	0	0.0000	0	1.872	-37.315	37.989	-15.99	-0.44	-1.16	-0.022	0.024	-0.024
15769	0	0.0000	0	1.790	-37.350	37.950	-16.01	-0.75	-1.47	0.006	0.022	-0.023
15776	0	0.0000	0	1.698	-37.392	37.911	-16.68	-0.71	-1.35	0.027	0.000	-0.025
15783	0	0.0000	0	1.603	-37.436	37.869	-17.34	-0.67	-1.06	0.032	-0.022	-0.020
15790	0	0.0000	0	1.510	-37.479	37.830	-18.14	-0.80	-1.18	0.046	-0.048	-0.010
15797	0	0.0000	0	1.419	-37.523	37.792	-18.64	-0.80	-1.43	0.027	-0.056	0.004
15804	0	0.0000	0	1.336	-37.563	37.758	-18.92	-0.82	-1.97	0.037	-0.051	0.024
15811	0	0.0000	0	1.260	-37.598	37.725	-18.80	-0.83	-2.93	0.027	-0.050	0.035
15818	0	0.0000	0	1.185	-37.632	37.692	-18.68	-0.77	-3.64	-0.009	-0.034	0.044
15826	0	0.0000	0	1.110	-37.667	37.661	-18.70	-1.02	-3.89	-0.012	-0.015	0.057
15833	0	0.0000	0	1.034	-37.704	37.629	-19.02	-1.34	-4.21	-0.031	0.006	0.035
15840	0	0.0000	0	0.956	-37.741	37.597	-19.30	-1.60	-4.20	-0.034	0.029	0.015
15847	0	0.0000	0	0.869	-37.782	37.560	-19.87	-2.14	-3.61	-0.030	0.038	-0.012
15854	0	0.0000	0	0.777	-37.822	37.518	-20.37	-2.06	-3.19	-0.032	0.055	-0.034
15861	0	0.0000	0	0.688	-37.858	37.475	-20.88	-2.55	-2.82	-0.018	0.044	-0.042
15868	0	0.0000	0	0.596	-37.893	37.428	-20.43	-3.09	-2.42	-0.020	0.044	-0.062
15875	0	0.0000	0	0.509	-37.922	37.380	-20.42	-3.48	-2.47	0.001	0.033	-0.058
15882	0	0.0000	0	0.418	-37.951	37.328	-19.94	-3.75	-2.57	-0.019	0.015	-0.043
15889	0	0.0000	0	0.331	-37.977	37.277	-19.17	-4.06	-2.81	-0.007	0.009	-0.017
15896	0	0.0000	0	0.239	-38.007	37.224	-18.56	-4.69	-2.59	-0.008	-0.023	-0.006
15903	0	0.0000	0	0.143	-38.042	37.174	-18.28	-5.06	-2.70	-0.000	-0.038	0.016
15910	0	0.0000	0	0.042	-38.083	37.126	-18.17	-5.23	-2.01	-0.003	-0.039	0.003
15917	0	0.0000	0	-0.062	-38.130	37.080	-18.26	-5.97	-1.29	0.008	-0.036	0.006
15924	0	0.0000	0	-0.169	-38.183	37.037	-17.96	-6.82	-0.42	0.014	-0.013	-0.006
15931	0	0.0000	0	-0.269	-38.235	36.999	-17.87	-7.47	0.14	0.023	0.007	0.003
15938	0	0.0000	0	-0.364	-38.287	36.966	-17.33	-8.05	0.60	0.012	0.014	0.013
15945	0	0.0000	0	-0.447	-38.333	36.938	-17.17	-8.64	0.61	0.012	0.044	0.022
15952	0	0.0000	0	-0.522	-38.377	36.916	-16.23	-9.17	0.94	0.004	0.042	0.010
15959	0	0.0000	0	-0.586	-38.417	36.899	-15.50	-9.91	1.06	-0.022	0.034	0.025
15966	0	0.0000	0	-0.644	-38.456	36.885	-14.40	-11.12	1.49	-0.033	0.043	0.016
15973	0	0.0000	0	-0.701	-38.493	36.871	-13.39	-11.83	1.82	-0.039	0.044	0.009
15980	0	0.0000	0	-0.757	-38.530	36.857	-12.36	-12.69	2.07	-0.040	0.031	0.021
